,Confidence Threshold,Labels,Image Name,Image URL,Media in Tweet,Media Type,Tweet URL
918,True,"['Advertisement', 'Poster', 'City', 'Urban']",GGyYTngXIAA1fHN.jpg,https://pbs.twimg.com/media/GGyYTngXIAA1fHN.jpg,https://t.co/dxR2iTG2L4 https://pbs.twimg.com/media/GGyYTngXIAA1fHN.jpg,photo,https://t.co/dxR2iTG2L4
919,True,"['Advertisement', 'Poster', 'Person', 'Face', 'Head', 'Text']",GGyZVSJXcAAE9Cm.jpg,https://pbs.twimg.com/media/GGyZVSJXcAAE9Cm.jpg,https://t.co/xHpjSjNHHz https://pbs.twimg.com/media/GGyZVSJXcAAE9Cm.jpg,photo,https://t.co/xHpjSjNHHz
920,True,"['Electronics', 'Screen', 'Computer Hardware', 'Hardware', 'Monitor', 'Remote Control', 'TV', 'Lamp', 'Architecture', 'Building', 'Furniture', 'Indoors', 'Living Room', 'Room', 'Person', 'Couch']",GGybUmDXQAAPCGY.jpg,https://pbs.twimg.com/media/GGybUmDXQAAPCGY.jpg,https://t.co/Zidna7LlE7 https://pbs.twimg.com/media/GGybUmDXQAAPCGY.jpg,photo,https://t.co/Zidna7LlE7
921,True,"['Advertisement', 'Poster', 'Lighting']",GGycDN-WcAATMzt.jpg,https://pbs.twimg.com/media/GGycDN-WcAATMzt.jpg,https://t.co/0aoEAj1ivS https://pbs.twimg.com/media/GGycDN-WcAATMzt.jpg,photo,https://t.co/0aoEAj1ivS
922,True,"['Advertisement', 'Poster', 'Adult', 'Male', 'Man', 'Person', 'Face', 'Head']",GGycLLcXIAAiwxE.jpg,https://pbs.twimg.com/media/GGycLLcXIAAiwxE.jpg,https://t.co/0xDDgDpS2i https://pbs.twimg.com/media/GGycLLcXIAAiwxE.jpg,photo,https://t.co/0xDDgDpS2i
923,False,"['Logo', 'Coin', 'Lighting']",GGye-QUWsAAAVWK.jpg,https://pbs.twimg.com/media/GGye-QUWsAAAVWK.jpg,https://t.co/ESpKHFbnlV https://pbs.twimg.com/media/GGye-QUWsAAAVWK.jpg,photo,https://t.co/ESpKHFbnlV
924,True,"['Person', 'Advertisement', 'Face', 'Head', 'Text']",GGye0h-W8AES4n8.jpg,https://pbs.twimg.com/media/GGye0h-W8AES4n8.jpg,https://t.co/ZGjRqTa9nQ https://pbs.twimg.com/media/GGye0h-W8AES4n8.jpg,photo,https://t.co/ZGjRqTa9nQ
925,False,"['Electrical Device', 'Antenna', 'Blackboard']",GGye1aAXAAAVaYL.jpg,https://pbs.twimg.com/media/GGye1aAXAAAVaYL.jpg,https://t.co/WKt1QvsOmw https://pbs.twimg.com/media/GGye1aAXAAAVaYL.jpg,photo,https://t.co/WKt1QvsOmw
926,True,"['Wristwatch', 'Arm', 'Body Part', 'Person']",GGyemV8XEAAOago.jpg,https://pbs.twimg.com/media/GGyemV8XEAAOago.jpg,https://t.co/tlwi8WUzXZ https://pbs.twimg.com/media/GGyemV8XEAAOago.jpg,photo,https://t.co/tlwi8WUzXZ
927,True,"['Computer Hardware', 'Electronics', 'Hardware']",GGyf7LGWIAAxXAR.jpg,https://pbs.twimg.com/media/GGyf7LGWIAAxXAR.jpg,https://t.co/5fYwuDEdrU https://pbs.twimg.com/media/GGyf7LGWIAAxXAR.jpg,photo,https://t.co/5fYwuDEdrU
928,True,"['Blade', 'Cooking', 'Knife', 'Sliced', 'Weapon', 'Apple', 'Food', 'Fruit', 'Plant', 'Produce']",GGyfHIFWgAAtPq0.jpg,https://pbs.twimg.com/media/GGyfHIFWgAAtPq0.jpg,https://t.co/EWpv04vAuk https://pbs.twimg.com/media/GGyfHIFWgAAtPq0.jpg,photo,https://t.co/EWpv04vAuk
929,True,"['City', 'Urban', 'Downtown', 'Road', 'Street', 'Architecture', 'Building', 'Clock Tower', 'Tower']",GGyfiqQX0AAKPyo.jpg,https://pbs.twimg.com/media/GGyfiqQX0AAKPyo.jpg,https://t.co/ir9ULWMrQI https://pbs.twimg.com/media/GGyfiqQX0AAKPyo.jpg,photo,https://t.co/ir9ULWMrQI
